Burst Length (bits)	Trials	Errors Detected	Detection Rate (%)
1	50	50	100.0
2	50	50	100.0
3	50	50	100.0
4	50	50	100.0
5	50	50	100.0
6	50	50	100.0
7	50	50	100.0
8	50	50	100.0
9	50	50	100.0
10	50	50	100.0
11	50	50	100.0
12	50	50	100.0
13	50	50	100.0
14	50	50	100.0
15	50	50	100.0
16	50	50	100.0
17	50	50	100.0
18	50	50	100.0
19	50	50	100.0
20	50	50	100.0
21	50	50	100.0
22	50	50	100.0
23	50	50	100.0
24	50	50	100.0
25	50	50	100.0
26	50	50	100.0
27	50	50	100.0
28	50	50	100.0
29	50	50	100.0
30	50	50	100.0
31	50	50	100.0
32	50	50	100.0
33	50	50	100.0
34	50	50	100.0
35	50	50	100.0
36	50	50	100.0
37	50	50	100.0
38	50	50	100.0
39	50	50	100.0
40	50	50	100.0
41	50	50	100.0
42	50	50	100.0
43	50	50	100.0
44	50	50	100.0
45	50	50	100.0
46	50	50	100.0
47	50	50	100.0
48	50	50	100.0
49	50	50	100.0
50	50	50	100.0
51	50	50	100.0
52	50	50	100.0
53	50	50	100.0
54	50	50	100.0
55	50	50	100.0
56	50	50	100.0
57	50	50	100.0
58	50	50	100.0
59	50	50	100.0
60	50	50	100.0
61	50	50	100.0
62	50	50	100.0
63	50	50	100.0
64	50	50	100.0
